cod_hidrov , cod_pnv , codigo_tre , extensao , gid , legislacao , modal , nome , pnv_oficia , situacao 
66, 001HJR001, 368200, 105.713379, 1, Previsto na lei n° 5.917/1973, Hidrovia, Rio Jari, HJR-001, Trecho de Navegação Inexpressível
21, 001HNO0206, 374514, 48.597485, 2, Previsto na lei n° 5.917/1973, Hidrovia, Rio Amazonas, HI-001, Trecho Navegável Principal
21, 001HNO0201, 39195, 76.491264, 3, Previsto na lei n° 5.917/1973, Hidrovia, Rio Amazonas, HI-001, Trecho Navegável Principal
86, 002HNO0120, 245224, 68.442192, 4, Previsto na lei n° 5.917/1973, Hidrovia, Rio Negro, HI-002, Trecho Navegável Principal
25, 003HNO0020, 273913, 172.558243, 5, Previsto na lei n° 5.917/1973, Hidrovia, Rio Branco, HI-003, Trecho Navegável Principal
148, 001HRX001, 272626, 102.076958, 6, Trecho Secundário, Hidrovia, Rio Xeruni, HRX-001, Trecho de Navegação Inexpressível
86, 002HNO0140, 10444, 136.919067, 7, Previsto na lei n° 5.917/1973, Hidrovia, Rio Negro, HI-002, Trecho de Navegação Inexpressível
86, 002HNO0130, 10368, 44.452049, 8, Previsto na lei n° 5.917/1973, Hidrovia, Rio Negro, HI-002, Trecho Navegável Principal
67, 007HNO0100, 59654, 2.17513, 108, Previsto na lei n° 5.917/1973, Hidrovia, Rio Javari, HI-007, Trecho Navegável Principal
0, 001RAI033, 0, 0, 1645, Não relacionado explicitamente na lei n° 5.917/1973, Hidrovia, Rio Aripuanã, RAI-001, Trecho de Navegação Inexpressível
132, 005HSU001, 26052, 119.775085, 10, Trecho Secundário, Hidrovia, Rio Surumu, HSU-005, Trecho de Navegação Inexpressível
25, 003HNO0070, 25722, 79.856567, 11, Previsto na lei n° 5.917/1973, Hidrovia, Rio Branco, HI-003, Trecho Navegável Principal
117, 002HRQ001, 25458, 55.227253, 12, Trecho Secundário, Hidrovia, Rio Quitauau, HRQ-002, Trecho de Navegação Inexpressível
143, 001HUR001, 22274, 96.518707, 13, Previsto na lei n° 5.917/1973, Hidrovia, Rio Urariquera, HUR-001, Trecho de Navegação Inexpressível
0, 002HPT001, 0, 0, 1845, Trecho Secundário, Hidrovia, Rio Poti, HPT-002, Trecho de Navegação Inexpressível
21, 001HNO0202, 36928, 114.746956, 9, Previsto na lei n° 5.917/1973, Hidrovia, Rio Amazonas, HI-001, Trecho Navegável Principal
25, 003HNO0060, 21611, 62.70549, 14, Previsto na lei n° 5.917/1973, Hidrovia, Rio Branco, HI-003, Trecho Navegável Principal
128, 001HAM0320, 240888, 56.621059, 34, Previsto na lei n° 5.917/1973, Hidrovia, Rio Solimoes, HI-001, Trecho Navegável Principal
25, 003HNO0040, 18928, 67.562271, 15, Previsto na lei n° 5.917/1973, Hidrovia, Rio Branco, HI-003, Trecho Navegável Principal
