gid ; shape_len ; sigla ; geom 
1; 18.8748; BR-153;MULTILINESTRING((-49.944774214 -22.963620428000013,-49.942678135999984 -22.960019890000012,-49.901414467 -22.889129716000014,-49.886690550000026 -22.837101002999987,-49.88831192599997 -22.779994068,-49.91887590099998 -22.692577019999987,-49.93502763999999 -22.643821331000026,-49.938407169000016 -22.581665467999983,-49.90891125000002 -22.46418240899999,-49.9068542 -22.403723495,-49.921155081 -22.356649662999985,-49.966089926 -22.279232477,-49.98390583499997 -22.21869638200002,-49.983724769 -22.213749109,-49.982435119 -22.17844965400002,-49.98181883199999 -22.161592126000016,-49.95788365300001 -22.074334901999976,-49.973171621 -21.87942175,-49.951165189 -21.812317627000027,-49.873192437 -21.7319872,-49.85682220000001 -21.70181226599999,-49.83856314500002 -21.651488300999972,-49.840304772000025 -21.63804518,-49.83997383299999 -21.565823401999978,-49.85733367900002 -21.42970945899998,-49.856934583 -21.349086446,-49.84457513799998 -21.317486557999985,-49.84053717299997 -21.30715955,-49.81714898500002 -21.27542257099998,-49.759111356 -21.196608637999987,-49.726456583000015 -21.126183249,-49.708195967 -21.057388246000016,-49.53374149799998 -20.967218437999975,-49.47079107600001 -20.916992387,-49.438395436 -20.87844424299999,-49.425786948999985 -20.85832291700001,-49.40376957299998 -20.675369778,-49.36939940899998 -20.549526645000014,-49.24853636300003 -20.310758358999976,-49.20053718899999 -20.215770438,-49.13607174499998 -20.11683120700002,-49.084222597 -20.05647092999999,-49.02702536100003 -19.972614338000028,-49.001969687999974 -19.902153997000028,-48.99282887700002 -19.74442101,-48.99098197500001 -19.702470810000023,-48.97312614100002 -19.665570907000017,-48.875219158 -19.627046432999975,-48.87163868 -19.605236531,-48.915827388000025 -19.413925359000018,-49.053465979 -19.066333251,-49.10251690299998 -18.891661795,-49.141036789 -18.775734714,-49.169196657999976 -18.737037584,-49.199006773 -18.674826924,-49.20930176000002 -18.604284013999973,-49.21045160699998 -18.471660181,-49.22014471099999 -18.431354818999978,-49.222573835 -18.421250467999982,-49.248853876 -18.379172943000015,-49.26711653199999 -18.349073212,-49.285610335 -18.318575174999978,-49.29948216600002 -18.273181217,-49.30570980599998 -18.127080571000022,-49.292650799 -18.051492118999988,-49.27470347299999 -17.94758104700003,-49.24950963600003 -17.855362642999978,-49.211982353 -17.758170291,-49.201125088000026 -17.70617923100002,-49.24739544900001 -17.553183193,-49.271763669 -17.47244600800002,-49.288602931000014 -17.363215052999976,-49.282650882999974 -17.26250683400002,-49.25377591199998 -17.145143814999983,-49.249944793 -17.098153996,-49.25666448599998 -17.05613891500002,-49.28770637600002 -16.98542870900002,-49.29448156299998 -16.95348274600002,-49.28876773899998 -16.891392164000024,-49.27444759399998 -16.849505469,-49.27229761799998 -16.795788405999986,-49.280847768 -16.768867832000012,-49.332799459 -16.697996483,-49.25547705399998 -16.653175955999984,-49.251915296 -16.644804389,-49.165644788 -16.566442349,-49.04965671999997 -16.478166320000014,-48.998604106000016 -16.421386563999988,-48.975563835 -16.371162097000024,-48.975442913 -16.352699932,-48.98578791199998 -16.33249981,-49.06194382799998 -16.236369191999984,-49.090820080000015 -16.128749299,-49.12693639899999 -16.061358644,-49.147495694999975 -16.04200099899998,-49.27052654 -15.926008304,-49.30837319300002 -15.870301204999976,-49.32881 -15.818080759999987,-49.337147217 -15.777709169,-49.333525493000025 -15.762624252000023,-49.353792974999976 -15.695282830999986,-49.361150936 -15.68076129000002,-49.374297834 -15.65480446,-49.43269952999998 -15.564588055,-49.502818935 -15.461450437,-49.59063098500002 -15.379037482,-49.60449845699998 -15.375542021,-49.64919396 -15.331414365,-49.659410286000025 -15.312829109,-49.65551589 -15.275906029,-49.62190373599998 -15.222484652,-49.57077207100002 -15.16503475899998,-49.46192576599998 -15.042638603,-49.323691183 -14.862869891,-49.264939441000024 -14.78248609100001,-49.188987026 -14.640441781,-49.17822310899999 -14.60359820299999,-49.180851061 -14.521296961000019,-49.180195164999986 -14.291259066,-49.16191188200003 -14.197400146,-49.14414776199999 -14.15223341799998,-49.11049983800001 -14.075317025,-49.09433269700003 -14.016706122000016,-49.08080063099999 -13.880838062,-49.05937114699998 -13.654388008000012,-49.07114783399999 -13.627407479999988,-49.154780936 -13.550994472000014,-49.17505845300002 -13.515517166999985,-49.188060834 -13.448208376000025,-49.185973648000015 -13.386156449,-49.182743534999986 -13.29041279400002,-49.21396872499997 -13.16747619,-49.21836726499998 -13.105289513,-49.205596147 -13.046655687,-49.12625779899997 -12.889702718000024,-49.113687276 -12.846185784999989,-49.10914967000002 -12.757241387000022,-49.11698544500001 -12.696700962000023,-49.14402351799998 -12.526781732000018,-49.18459763300001 -12.34828070499998,-49.19409608299998 -12.161747634,-49.221875899 -12.06230435499998,-49.22272700899998 -12.00015130700001,-49.220534031 -11.993588263,-49.204845923 -11.946638897000014,-49.10999526 -11.776566434000017,-49.08333926199998 -11.708563707999986,-49.05498692499998 -11.636220908999974,-49.02118019 -11.542626488,-48.97609628700002 -11.37530805099999,-48.934772873999975 -11.110578739,-48.92605815899998 -10.860539140000014,-48.927516943 -10.749537788999987,-48.92978187900002 -10.574092646,-48.93004788000002 -10.553240834,-48.910105563 -10.37705775400002,-48.892648537000014 -10.22303079300002,-48.89213189399999 -10.18946050400001,-48.86919413800001 -10.137749585,-48.85982242199998 -10.126746113000024,-48.770361381999976 -10.021675660000028,-48.73199838099998 -9.96180214200001,-48.70913201399998 -9.802681041000028,-48.66268299400002 -9.659022005999987,-48.64157856000003 -9.614018824000027,-48.609374652999975 -9.535181624000018,-48.58502372700002 -9.475563449,-48.561149741 -9.361808172999986,-48.54921907900001 -9.14551781199998,-48.52537066399998 -9.035132472999976,-48.525208238 -9.025067466999985,-48.522714166000014 -8.87209900900001,-48.52255367499998 -8.862341979,-48.518254789000025 -8.603995890000022,-48.492617204 -8.411438084999986,-48.47744141200002 -8.297590695,-48.481269397 -8.128054454999983,-48.475310509999986 -7.982172787000025,-48.45909380699999 -7.789409961999979,-48.456851856000014 -7.762801148999984,-48.44949375099998 -7.675556164999989,-48.42017410400001 -7.55190812799998,-48.39174118 -7.476908574999982,-48.31269340900002 -7.315576991,-48.267462797 -7.245927145999985,-48.228391209 -7.207281411),(-50.165955955000015 -23.047844925999982,-50.13694113600002 -23.07147638700002,-50.080662599 -23.110315324,-50.057090413000026 -23.135590036999986,-50.046243576 -23.155780567000022,-50.04452623499998 -23.180982340000014,-50.10740009800003 -23.286207246,-50.11064409900001 -23.29163172699998,-50.112597126000026 -23.32018230099999,-50.092774099 -23.377359805000026,-50.09670400700003 -23.442858517,-50.223695082 -23.637282444999983,-50.240434381 -23.692656992000025,-50.24259264199998 -23.75816759899999,-50.197533462000024 -23.91287859099998,-50.199686885 -23.98510502099998,-50.20710402100002 -24.003558838,-50.220040711000024 -24.025353514000017,-50.26424125699998 -24.06215715899998,-50.235468911 -24.191608805999977,-50.243107829 -24.257098714999984,-50.278319785 -24.320815649,-50.34678329399998 -24.406245275,-50.38191654000002 -24.439707527,-50.437334507 -24.476438217))
38; 0.875409; BR-463;MULTILINESTRING((-54.88600700799998 -22.25783826999998,-54.975618726 -22.27449597399999,-55.123337056000025 -22.301836098000024,-55.18382691199997 -22.318213120999985,-55.30606630300002 -22.379485723000016,-55.369872483999984 -22.429355352000016,-55.50492211300002 -22.570839842999987,-55.529161697 -22.585080354000013,-55.595942617 -22.616219736,-55.65215973699998 -22.614056741000013))
3; 1.77935; BR-122;MULTILINESTRING((-40.115529063 -7.889868901,-40.13571143500002 -7.948892485999977,-40.176160607999975 -8.022730953,-40.27738497500002 -8.159066548999988,-40.40226836800002 -8.31033514500001,-40.462928190000014 -8.41224980200002,-40.494873202 -8.484555810000018,-40.491282402000024 -8.538677305000022,-40.477580639999985 -8.57470609699999,-40.405944628999976 -8.674414120999984,-40.35824777099998 -8.720078924,-40.274817713 -8.783546285,-40.25768515300001 -8.814586916999986,-40.26412237699998 -8.875271969999972,-40.29406939400002 -8.97381511499998,-40.29734050899998 -8.993508287999987,-40.33605183499998 -9.044590229,-40.406443535 -9.18282294,-40.483742542000016 -9.301484510000023,-40.52769523699999 -9.331340915999988,-40.575163992 -9.34481613600002))
62; 0.242697; BR-280;MULTILINESTRING((-48.660497796000016 -26.319388237,-48.73906664200001 -26.392656838,-48.75231318099998 -26.412900138,-48.80784326600002 -26.497689431000026,-48.813170462000016 -26.50581897400002))
2; 2.13663; BR-135;MULTILINESTRING((-44.269882688 -2.667908182000019,-44.301019575 -2.739833219,-44.34861434499999 -2.838518578999981,-44.35291845199998 -2.879985565000027,-44.34844928299998 -2.91874676499998,-44.338876054000025 -3.001645404999977,-44.33934266900002 -3.098052055999972,-44.35828132400002 -3.195734156000015,-44.378083457 -3.25683180599998,-44.39569722300001 -3.294705752000027,-44.432639712000025 -3.340918789,-44.43884585699999 -3.348683956,-44.439742137 -3.349879768999983,-44.52355877000002 -3.461697362,-44.577436255 -3.54709863,-44.600486058 -3.604857456,-44.56920324599997 -3.635425509000015,-44.538841004 -3.710876586999973,-44.527672543 -3.822531289999972,-44.50302609200003 -3.934433437,-44.498238297 -4.119122560999983,-44.48642183800001 -4.204152104,-44.44691014900002 -4.337891758000012,-44.424056576 -4.374875128999975,-44.36937988300002 -4.419057871),(-44.269882688 -2.667908182000019,-44.239382517000024 -2.597490901000015),(-44.269882688 -2.667908182000019,-44.269369762 -2.668628033),(-44.269882688 -2.667908182000019,-44.27609763200002 -2.659190013999989,-44.28619421000002 -2.645024239,-44.360289733 -2.5410066))
84; 1.2635; BR-226;MULTILINESTRING((-39.591340737999985 -5.523458942,-39.624900728 -5.506908695,-39.87530595099997 -5.441480841999976,-39.954389419 -5.43437946,-40.00150749900001 -5.430768520000015,-40.036934455 -5.438698357000021,-40.15506116300003 -5.468952334,-40.237583339000025 -5.469983140000011,-40.309717196 -5.43830198500001,-40.460145599999976 -5.317411076999974,-40.542169048 -5.269140517999972,-40.55722125699998 -5.259165355999983,-40.600805106 -5.240730328999973,-40.645933651 -5.209143145999974,-40.644082261 -5.192748465000022,-40.599709572999984 -5.134084496000014,-40.59275366899999 -5.112818397000012))
4; 2.39144; BR-104;MULTILINESTRING((-35.811677101999976 -6.233366317,-35.72350547899998 -6.335333820000017,-35.70406391400002 -6.371520992,-35.65792344800002 -6.457297563999987,-35.652092208 -6.468126480000024,-35.63835312100002 -6.517769294,-35.627625287 -6.629964479000023,-35.62550023900002 -6.703719335000017,-35.638502863999975 -6.782389519999981,-35.660212446 -6.817828303999988,-35.70557541300002 -6.850236294000013,-35.77797375199998 -6.879642063,-35.804200481 -6.990592107,-35.84252173099998 -7.059926631999986,-35.87586088 -7.116398918000016,-35.893678367 -7.209697576999986,-35.925043527000014 -7.295106466999982,-35.945023795 -7.399375986999985,-35.94601240700001 -7.404542955000011,-35.97574310599998 -7.477134499999977,-36.03058749600001 -7.572507168000016,-36.12073305000001 -7.685993188,-36.116530372 -7.761529420999977,-36.144695937999984 -7.814916437000022,-36.15903654099998 -7.892286515000023,-36.1923304 -7.939327581999976,-36.18356106700003 -7.96496378,-36.15961410800003 -7.985588668,-36.13570173699998 -8.002990259,-36.116660707 -8.036529813000016,-36.09721625399999 -8.100610335,-36.079970962 -8.124507293000022,-36.086721517 -8.126203627,-36.06944888800001 -8.15170507800002,-36.054124737 -8.157934254999986,-36.03680076 -8.186641985999984,-36.00712213700001 -8.293238433,-35.99933531800002 -8.321155324000017))
5; 6.44016; BR-101;MULTILINESTRING((-51.17459167800001 -29.958634182000026,-51.012089523999975 -29.938790391999987,-50.89605524000001 -29.924496421000015,-50.82639374299998 -29.901176932999988,-50.718046544 -29.84766433300001,-50.644646145000024 -29.837697026,-50.411708778 -29.868207117999987,-50.35570255 -29.872329633999982,-50.31867905299998 -29.928053810999984,-50.291216518 -29.898092175999977,-50.306774003999976 -29.817527516999974,-50.29717947400002 -29.772183822999978,-50.272142287 -29.74024906599999,-50.22976782799998 -29.70660118799998,-50.20096221900002 -29.649466820999976,-50.12596394000002 -29.590542810999978,-50.06648048 -29.521557998,-50.003180696000015 -29.464290979,-49.90928590200002 -29.385062141,-49.86532779800001 -29.33453123800001,-49.82539169299997 -29.257155265999984,-49.80094454800002 -29.163061664,-49.783849444 -29.132774376999976,-49.75336350700002 -29.099064763,-49.66370106800002 -29.033156829,-49.60838288999997 -28.999283836000018,-49.553200584000024 -28.951970745999972,-49.479326051999976 -28.855859206,-49.45470184499999 -28.83328766699998,-49.414812155 -28.79669603399998,-49.31978811 -28.738956468000026,-49.184752398 -28.682498306000014,-49.152534103 -28.660411939000028,-49.09482482499999 -28.530746838000027,-49.047709538 -28.483349340000018,-49.025001638 -28.469717211999978,-48.85977683300001 -28.427793466000026,-48.80866024599999 -28.407137725999974,-48.75024718399999 -28.32282434199999,-48.728559804999975 -28.291487662,-48.72686876199998 -28.228474017999986,-48.787638663999985 -28.13190844799999,-48.749542497 -28.000711514999978,-48.730480656 -27.868049833999976,-48.733005896 -27.821132413999976,-48.76107312099998 -27.70239499500002,-48.71367290500001 -27.27434918,-48.709327159 -27.17035370299999,-48.719857065999975 -27.07992294799999,-48.76051199 -26.983080581000024,-48.79357266 -26.544068122,-48.813170462000016 -26.50581897400002,-48.826064712 -26.480634281,-48.897744726999974 -26.422544983000023,-48.92427596099998 -26.385862412,-48.925508020999985 -26.381249879,-48.930087058000026 -26.364105429,-48.951223964 -26.300536475,-48.948380493 -26.19988177099998,-48.915515786000014 -26.117449452000017,-48.906579142 -26.073775281999986,-48.91838778099998 -26.003423880000014,-48.937255628 -25.976729202,-48.98600176000002 -25.94017891599998,-49.122346119999975 -25.889062978000027,-49.163462803000016 -25.865816322,-49.17109174500001 -25.837338128,-49.16963121499998 -25.773577862000025,-49.18677010599998 -25.708240011999976,-49.24499015700002 -25.601155697000024,-49.30858794400001 -25.50915915600001,-49.31231216100002 -25.504896627,-49.341298232999975 -25.471700496999972,-49.342168545 -25.470703845))
6; 1.06713; BR-070;MULTILINESTRING((-47.961323645 -15.764404561999982,-48.00651674300002 -15.73414997499998,-48.03436975599999 -15.73241451299998,-48.12322056900001 -15.748962441,-48.197027193999986 -15.75636986500001,-48.26954322 -15.763624866999976,-48.323525167000014 -15.763443191000022,-48.39311673499998 -15.749773538,-48.43317364799998 -15.75129375,-48.504658904 -15.769446381000023,-48.588199151000026 -15.760683573,-48.68061846699999 -15.782041100000015,-49.005220899 -15.79669506,-49.009871836 -15.795223373))
71; 1.59294; BR-153;MULTILINESTRING((-52.43637098 -28.308340127,-52.408837919 -28.28485162200002,-52.40732895399998 -28.28356383099998,-52.342860078 -28.197094225,-52.289529996 -28.09193896,-52.267248583000026 -28.018272157000013,-52.264271346999976 -27.961140205999982,-52.278127556000015 -27.891990495000016,-52.30727632100002 -27.831020560000013,-52.341572273 -27.744737143,-52.330593809 -27.667542965999985,-52.28987808900001 -27.616019130999973,-52.174749177000024 -27.52351053299998,-52.106745875 -27.41682978,-52.037585689000025 -27.345450086000028,-52.025643678 -27.308613329000025,-52.03075356599999 -27.276595917,-52.052612672 -27.232584910000014,-52.091043738 -27.168162290999987,-52.08862807700001 -27.13792612100002,-52.06942426400002 -27.116326010000023,-51.99336296000001 -27.070253598000022,-51.91883355300001 -26.998901322999984))
